";NombreJugador;NombreCarta;Zona;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Escarapela Nacional;3;"
";Pepe;Fusil Grass Cheatellerau;2;"
";Pepe;Anibal Pinto;2;"
";Pepe;Antonio Varas;2;"
";Pepe;La independencia;2;"
";Pepe;Fundicion de Guayacan;2;"
";Pepe;Remington Rolling Block;2;"
";Pepe;Fernando VII;2;"
";Pepe;Fusil Grass Cheatellerau;2;"
";Pepe;Antonio Varas;5;"
";Pepe;Antonio Varas;5;"
";Pepe;Antonio Varas;5;"
";Pepe;Antonio Varas;5;"
";Pepe;Fundicion de Guayacan;4;"
";Pepe;Fundicion de Guayacan;4;"
";Pepe;Fundicion de Guayacan;4;"
";Pepe;Fundicion de Guayacan;4;"
";Pepe;Gandarillas;0;"
";Pepe;Abrazo De Maipu;0;"
";Pepe;Hipolito Villegas;0;"
";Pepe;Francisco Bilbao;0;"
";Pepe;Carabina Evans;0;"
";Pepe;Carabina Evans;0;"
";Pepe;Carabina Evans;0;"
";Pepe;El Relampago;0;"
";Pepe;Hilaron Daza;1;"
";Pepe;La Independencia;1;"
";Pepe;Humberstone;1;"
";Pepe;Duelo De Navajas;1;"
";Pepe;Benjamin Vicuna Mackena;1;"
";Pepe;El Marte;1;"
";Pepe;Andres Bello;1;"
";Pepe;El Marte;1;"
";Pepe;Canon de Corto Alcance;1;"
";Pepe;El Marte;1;"
";Pepe;Encalladero Chilote;1;"
";Pepe;Encalladero Chilote;1;"
";Pepe;Canon de Corto Alcance;1;"
";Pepe;Fundicion de Guayacan;1;"
";Pepe;El Marte;3;"
";Pepe;Toma Del Morro;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Escarapela Nacional;3;"
";Juan;Camilo Henriquez;2;"
";Juan;Rafael Maroto;2;"
";Juan;Anibal Pinto;2;"
";Juan;Hilaron Daza;2;"
";Juan;Andres Bello;0;"
";Juan;Rodriguez Aldea;0;"
";Juan;Fernando VII;0;"
";Juan;Orosimbo Barboza;5;"
";Juan;Bernardo De Monteagudo;5;"
";Juan;Antonio Varas;5;"
";Juan;Gabino Gainza;6;"
";Juan;Los Pincheira;6;"
";Juan;Hipolito villegas;6;"
";Juan;Perez Cotapos;1;"
";Juan;Gandarillas;1;"
";Juan;Telegrafo;1;"
";Juan;Covadonga;1;"
";Juan;Carabina Evans;1;"
";Juan;El Relampago;2;"
";Juan;La Independencia;1;"
";Juan;Fragata Warren;1;"
";Juan;Fusil Grass Cheatellerau;2;"
";Juan;Bergantin Aguila;1;"
";Juan;Remington Rolling Block;1;"
";Juan;El furioso;1;"
";Juan;Humberstone;1;"
";Juan;Humberstone;2;"
";Juan;Fundicion de Guayacan;1;"
";Juan;Fundicion de Guayacan;1;"
";Juan;Fuerte de niebla;1;"
";Juan;Fuerte de niebla;0;"
";Juan;Encalladero Chilote;7;"
";Juan;Encalladero Chilote;1;"
";Juan;Mineral de Chanarcillo;7;"
";Juan;Mineral de Chanarcillo;0;"
";Juan;Abrazo De Maipu;1;"
";Juan;Quemar La Ciudad;2;"
";Juan;Abrazo De Maipu;0;"
";Juan;Quemar La Ciudad;0;"
";Juan;Emboscada;1;"
