,Partida8,hola2,hola1,nada,0,
,hola2,Bandera Transicion,3,nada,0,
,hola2,Escarapela Nacional,3,nada,0,
,hola2,Benjamin Vicuna Mackena,0,nada,0,
,hola2,Esconder A Los Patriotas,0,nada,0,
,hola2,Canon de Corto Alcance,2,nada,0,
,hola2,Fundicion de Guayacan,2,nada,0,
,hola2,Covadonga,2,nada,0,
,hola2,Revuelta Indigena,2,nada,0,
,hola2,Junta De Gobierno,2,nada,0,
,hola2,Fundicion de Guayacan,2,nada,0,
,hola2,Declaracion De Independencia,2,nada,0,
,hola2,Fundicion de Guayacan,2,nada,0,
,hola2,Bandera Transicion,2,nada,0,
,hola2,Fundicion de Guayacan,2,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Escarapela Nacional,1,nada,0,
,hola2,Junta De Gobierno,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,El furioso,1,nada,0,
,hola2,Remington Rolling Block,1,nada,0,
,hola2,Carabina Evans,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Bernardo De Monteagudo,1,nada,0,
,hola2,El Marte,1,nada,0,
,hola2,Hilaron Daza,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,La Independencia,1,nada,0,
,hola2,Orosimbo Barboza,1,nada,0,
,hola2,Escarapela Nacional,1,nada,0,
,hola2,Rodriguez Aldea,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Junta De Gobierno,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Andres Bello,1,nada,0,
,hola2,Fusil Grass Cheatellerau,1,nada,0,
,hola2,El Relampago,1,nada,0,
,hola2,Escarapela Nacional,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Bandera Transicion,1,nada,0,
,hola2,Junta De Gobierno,1,nada,0,
,hola2,Bergantin Aguila,1,nada,0,
,hola2,Fragata Warren,1,nada,0,
,hola2,Fundicion de Guayacan,1,nada,0,
,hola2,Toma Del Morro,1,nada,0,
,hola1,Escarapela Nacional,3,nada,0,
,hola1,Hipolito Villegas,0,nada,0,
,hola1,Andres Bello,2,nada,0,
,hola1,Fundicion de Guayacan,2,nada,0,
,hola1,Fundicion de Guayacan,2,nada,0,
,hola1,Extraccion del Salitre,2,nada,0,
,hola1,Camilo Henriquez,2,nada,0,
,hola1,Hilaron Daza,2,nada,0,
,hola1,Remington Rolling Block,2,nada,0,
,hola1,Fundicion de Guayacan,2,nada,0,
,hola1,Emboscada,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Anibal Pinto,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Canon de Corto Alcance,1,nada,0,
,hola1,Fusil Grass Cheatellerau,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Covadonga,1,nada,0,
,hola1,Rodriguez Aldea,1,nada,0,
,hola1,El Relampago,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Carabina Evans,1,nada,0,
,hola1,Bernardo De Monteagudo,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,El furioso,1,nada,0,
,hola1,Bergantin Aguila,1,nada,0,
,hola1,Los Pincheira,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Antonio Varas,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escuadra Independentista,1,nada,0,
,hola1,Emboscada,1,nada,0,
,hola1,Rafael Maroto,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Fragata Warren,1,nada,0,
,hola1,Gabino Gainza,1,nada,0,
,hola1,La Independencia,1,nada,0,
,hola1,Emboscada,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Escarapela Nacional,1,nada,0,
,hola1,Fundicion de Guayacan,1,nada,0,
,hola1,Perez Cotapos,1,nada,0,
,hola1,Bandera,10,1,1,1,1,0,1,
